US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
1009819.0,1087521.0,,1000000.0,9-Oct-98,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62.0,3.4,165.0
1641825.0,6341825.0,,40000000.0,1-Jul-86,R,,,,,,Roman Polanski,25.0,5.8,3275.0
20400000.0,20400000.0,,6000000.0,31-Dec-46,,,,,,,,86.0,7.0,2906.0
37600000.0,37600000.0,,1000000.0,7-Oct-63,,,,,,,,81.0,7.0,4035.0
37402877.0,37402877.0,,10000000.0,11-Dec-68,,,Sony Pictures,,Musical,,,84.0,7.5,9111.0
13129846.0,13129846.0,,2000000.0,25-Dec-62,,,Universal,,,,,97.0,8.4,82786.0
5228617.0,5228617.0,,100000.0,1-Mar-87,,,,,,,,87.0,6.8,1532.0
80000000.0,80000000.0,,13500000.0,5-Oct-56,,,,,,,,90.0,2.5,1677.0
0.0,0.0,,4000000.0,9-Nov-72,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57.0,7.0,4099.0
34175000.0,94875000.0,,32000000.0,14-Dec-79,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0
56700000.0,68700000.0,,10500000.0,2-Apr-68,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0
985341.0,1027228.0,,500000.0,30-Jul-99,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77.0,7.1,2810.0
11744960.0,11744960.0,,20000000.0,6-May-94,PG,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17.0,3.2,3107.0
2300000.0,2300000.0,,439000.0,9-Mar-33,,,Warner Bros.,Based on Book/Short Story,Musical,,,95.0,7.7,4263.0
4301000.0,4301000.0,,4000000.0,25-Dec-95,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14.0,6.4,34328.0
